0.001312	2	0.000721341	0.00159606
0.00290805	3	0.00066791	0.00203337
0.0040516	5	0.00025918	0.0022871
0.00417947	7	1.62993e-05	0.000255753
0.00443523	8	1.61657e-05	0.000511506
0.00494673	9	2.35052e-05	0.00102301
0.00506429	11	2.48087e-06	0.000235106
0.00529939	12	5.6428e-05	0.000470212
0.0057696	13	0.000333307	0.000909047
0.00585645	15	4.73731e-06	0.000173697
0.00603015	16	2.64184e-05	0.000347394
0.00637754	17	0.000261185	0.000694787
0.0064797	19	2.11297e-06	0.000204307
0.006684	20	9.25296e-06	0.000408613
0.00709262	21	0.000311729	0.000817226
0.00725947	23	4.33626e-05	0.000333712
