0	0	0.316228	3.16228e+18	3.16228e+18	692.251	692.251	0.316228	4.88723e-17	0.316228	4.88723e-17
3.12692e-10	4.27944e+14	4.27944e+14	3.16227e+18	3.16227e+18	692.28	692.28	0.316228	4.88723e-17	0.316228	4.88723e-17
8.07725e-10	1.06767e+15	1.06767e+15	3.16225e+18	3.16225e+18	692.325	692.325	0.316228	4.88723e-17	0.316228	4.88723e-17
1.40207e-09	1.78345e+15	1.78345e+15	3.16223e+18	3.16223e+18	692.38	692.38	0.316228	4.88723e-17	0.316228	4.88723e-17
2.24967e-09	2.72377e+15	2.72377e+15	3.16221e+18	3.16221e+18	692.458	692.458	0.316228	4.88723e-17	0.316228	4.88723e-17
3.24956e-09	3.73742e+15	3.73742e+15	3.16217e+18	3.16217e+18	692.552	692.552	0.316228	4.88723e-17	0.316228	4.88723e-17
4.76683e-09	5.13104e+15	5.13104e+15	3.16212e+18	3.16212e+18	692.695	692.695	0.316228	4.88723e-17	0.316228	4.88723e-17
5.81612e-09	6.02063e+15	6.02063e+15	3.16209e+18	3.16209e+18	692.795	692.795	0.316228	4.88723e-17	0.316228	4.88723e-17
7.6111e-09	7.44719e+15	7.44719e+15	3.16202e+18	3.16202e+18	692.968	692.968	0.316228	4.88723e-17	0.316228	4.88723e-17
8.32909e-09	7.99253e+15	7.99253e+15	3.162e+18	3.162e+18	693.039	693.039	0.316228	4.88723e-17	0.316228	4.88723e-17
9.39664e-09	8.78446e+15	8.78446e+15	3.16196e+18	3.16196e+18	693.144	693.144	0.316228	4.88723e-17	0.316228	4.88723e-17
1.15317e-08	1.03206e+16	1.03206e+16	3.16188e+18	3.16188e+18	693.359	693.359	0.316228	4.88723e-17	0.316228	4.88723e-17
1.36668e-08	1.18154e+16	1.18154e+16	3.1618e+18	3.1618e+18	693.579	693.579	0.316228	4.88723e-17	0.316228	4.88723e-17
1.60735e-08	1.34744e+16	1.34744e+16	3.16171e+18	3.16171e+18	693.835	693.835	0.316228	4.88723e-17	0.316228	4.88723e-17
1.86799e-08	1.52567e+16	1.52567e+16	3.1616e+18	3.1616e+18	694.121	694.121	0.316228	4.88723e-17	0.316228	4.88723e-17
2.24015e-08	1.7799e+16	1.7799e+16	3.16145e+18	3.16145e+18	694.548	694.548	0.316228	4.88723e-17	0.316228	4.88723e-17
2.69761e-08	2.09303e+16	2.09303e+16	3.16125e+18	3.16125e+18	695.105	695.105	0.316228	4.88723e-17	0.316228	4.88723e-17
3.02719e-08	2.31794e+16	2.31794e+16	3.16111e+18	3.16111e+18	695.527	695.527	0.316228	4.88723e-17	0.316228	4.88723e-17
3.17701e-08	2.41956e+16	2.41956e+16	3.16104e+18	3.16104e+18	695.725	695.725	0.316228	4.88723e-17	0.316228	4.88723e-17
3.47664e-08	2.62358e+16	2.62358e+16	3.16091e+18	3.16091e+18	696.132	696.132	0.316228	4.88723e-17	0.316228	4.88723e-17
3.56798e-08	2.68515e+16	2.68515e+16	3.16087e+18	3.16087e+18	696.258	696.258	0.316228	4.88723e-17	0.316228	4.88723e-17
3.75066e-08	2.80848e+16	2.80848e+16	3.16079e+18	3.16079e+18	696.515	696.515	0.316228	4.88723e-17	0.316228	4.88723e-17
3.91179e-08	2.91679e+16	2.91679e+16	3.16071e+18	3.16071e+18	696.744	696.744	0.316228	4.88723e-17	0.316228	4.88723e-17
