0.01	1	0.000721235	0.0121662
0.018401	3	0.000440489	0.0137395
0.0287984	5	0.000681863	0.013083
0.0418814	6	0.000979431	0.013083
0.0549644	7	0.000705902	0.0161235
0.0710879	8	0.000477205	0.0251326
0.0798155	10	0.00111032	0.00819639
0.0880119	11	0.000256724	0.0163928
0.104405	12	0.00105078	0.0163928
0.120797	13	0.000719877	0.0199663
0.140764	14	0.000753913	0.023654
0.159007	16	0.00080895	0.0207177
0.179724	17	0.000522841	0.0305718
0.210296	18	0.00117925	0.0276922
0.231213	21	0.000310755	0.0418333
0.273046	22	0.000434867	0.0689459
0.305899	24	0.00105622	0.0328524
0.330644	26	0.000832223	0.0276282
0.358272	27	0.0010809	0.0276282
0.385901	28	0.000497326	0.0420115
0.427912	29	0.000477815	0.0654354
0.493348	30	0.000376034	0.117673
0.61102	31	0.000466325	0.185979
0.796999	32	6.95536e-06	0.371957
1.16896	33	2.45241e-07	0.743915
1.91287	34	0	0.743915
2.65679	35	0	0.743915
3.4007	36	0	0.743915
